books,writer,rating,description,statistics,details,urls,genres,reading,will_read
El vampiro de la colonia Roma,"['Luis Zapata', 'Luis Zapata']",3.90,"Adonis García vive para los goces y placeres que su cuerpo puede ofrecer y recibir. Huyendo de la atmósfera embrutecedora de las provincias, busca las luces más brillantes del paraíso y encuentra en la vida de las calles de la Ciudad de México un banquete de aventuras y pasiones que saborea con avidez a su antojo. En el prometedor resplandor de cada farola, Adonis busca encuentros con los hombres que saborean las horas de oscuridad para cumplir las fantasías sexuales reprimidas o disfrazadas (en formas más aceptables) durante el día. Los barrios centrales de esta capital urbana se convierten para él en un carnaval de delicias carnales, sin necesidad de disculpas ni justificaciones entrando nunca en el cuadro narrativo. Adonis García es una oda viva a la belleza del cuerpo humano y todas sus superficies, irradia juventud, energía y exuberancia; incluso cuando se convierte en víctima de la explotación económica (orgías de riqueza y lujo compiten con los placeres de la carne en estas páginas), mira con optimismo hacia la próxima experiencia y advierte a aquellos que se hunde en la autocompasión.

« en particular y la obra de Zapata en general sacaron finalmente del clóset a la literatura homosexual, y la volvieron literatura plena. Fue el parteaguas, el momento en que se acabó con una literatura homosexual del gueto, detenida en la queja o la autocomplacencia enrarecidas, y se ganó la calle y la expresión seria y franca: cuando ya sin medias voces, referencias en clave o discreción atemorizada, los libros y los autores homosexuales pudieron ocupar el mismo sitio que los demás».

—José Joaquín Blanco, , 1988.

«La miopía con la que fue recibida al principio por las mentes pacatas de México ha cedido su sitio a por lo menos tres generaciones de lectores que supieron ver en esta novela el vigor de su lenguaje, su relevancia sociológica y su extraordinario sentido del humor. [...] Ése es el carácter de la novela que el lector se dispone a disfrutar: una superficie textual resbaladiza, quizá un poquito demasiado llamativa, obscena por momentos, chistosa, pero sobre todo sabia, cachonda, flexible, desbordante de una sensibilidad intensa, alegre, y extrañamente acogedora».

—Julián Herbert.","2,658 ratings and 465 reviews","['192 pages, Paperback', 'First published January 1, 1979']",https://www.goodreads.com/book/show/49807365,"['LGBT', 'Fiction', 'Queer', 'Spanish Literature', 'Gay', 'Novels', 'Classics', '...more']",150 people are currently reading,"3,560 people want to read"
Harry Potter and the Goblet of Fire,"['J.K. Rowling', 'Mary GrandPré', 'Jim Kay', 'J.K. Rowling']",4.57,"It is the summer holidays and soon Harry Potter will be starting his fourth year at Hogwarts School of Witchcraft and Wizardry. Harry is counting the days: there are new spells to be learnt, more Quidditch to be played, and Hogwarts castle to continue exploring. But Harry needs to be careful - there are unexpected dangers lurking...","3,931,887 ratings and 76,088 reviews","['734 pages, Paperback', 'First published July 8, 2000']",https://www.goodreads.com/book/show/6,,92.7k people are currently reading,503k people want to read
Harry Potter and the Prisoner of Azkaban,"['J.K. Rowling', 'Mary GrandPré', 'J.K. Rowling']",4.58,"Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","4,494,950 ratings and 92,427 reviews","['435 pages, Mass Market Paperback', 'First published July 8, 1999']",https://www.goodreads.com/book/show/5,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', '...more']",77.4k people are currently reading,496k people want to read
Aquí todos mienten,"['Shari Lapena', 'Jesús de la Torre Olid', 'Shari Lapena']",3.79,"Bienvenidos a Stanhope. Un barrio seguro... y perfecto para las familias.

William Wooler es, a primera vista, un padre y marido entregado. Pero ha estado teniendo una aventura que esa misma tarde ha tenido un horrible final en un motel de las afueras. Cuando regresa a casa, destrozado y enfadado, se sorprende al ver que Avery, su hija de nueve años, ha salido antes de la escuela y pierde los estribos.

Horas más tarde, la familia de Avery comunica su desaparición.

De repente, Stanhope ya no parece un barrio tan apacible. Y William no es el único que esconde una mentira. A medida que los testigos aportan información, que puede o no ser cierta, sobre la desaparición, los vecinos de Avery se muestran cada vez más desquiciados.

¿Quién se ha llevado a Avery Wooler?

Nada te preparará para la verdad.","172,167 ratings and 15,568 reviews","['368 pages, Paperback', 'First published July 25, 2023']",https://www.goodreads.com/book/show/199458836,"['Thriller', 'Mystery', 'Audiobook', 'Mystery Thriller', 'Fiction', 'Suspense', 'Adult', '...more']","5,358 people are currently reading",151k people want to read
Heaven,"['Mieko Kawakami', 'Lourdes Porta Fuentes', 'Mieko Kawakami']",3.79,"El narrador sin nombre de esta novela es un chico de catorce años que sufre constantes burlas por tener su estrabismo. Incapaz de enfrentarse a los matones del instituto, intenta, sin éxito, pasar desapercibido. La única persona que entiende lo que está viviendo es una compañera de clase, Kojima, víctima también de todo tipo de humillaciones a manos del resto. Dándose mutuamente consuelo en el momento de sus vidas que más lo necesitan, los dos jóvenes se acercan más que nunca. Pero, ¿cuál es, en última instancia, la naturaleza de una amistad cuando el vínculo que comparten es el miedo?

Tan dura como tierna, escrita con la sensibilidad necesaria como para ofrecer un agudo retrato de la vida en el instituto y una mirada íntima a la adolescencia, Heaven es una novela de múltiples capas que se erige como otro testimonio deslumbrante del talento de Mieko Kawakami, considerada una de las autoras jóvenes más importantes de la actualidad, apadrinada por Haruki Murakami.","70,429 ratings and 11,378 reviews","['228 pages, Kindle Edition', 'First published September 2, 2009']",https://www.goodreads.com/book/show/91717683,"['Fiction', 'Japanese Literature', 'Contemporary', 'Japan', 'Literary Fiction', 'Asian Literature', 'Coming Of Age', '...more']","4,884 people are currently reading",116k people want to read
"Rurouni Kenshin, Volume 28","['Nobuhiro Watsuki', 'Nobuhiro Watsuki']",4.45,"As the feared assassin of the Bakumatsu, Himura Kenshin killed in the name of the new era. As the rurouni of Meiji, he wielded a sakabatô to protect those who couldn't protect themselves, all along holding true to his vow to never take another life. Now Kenshin's fight with Enishi has entered its final stage, as has his quest for atonement. Will another life be required to complete the circle? The road of redemption has been a long one for the world-weary swordsman, but now that Kenshin has found the will to live, can he muster the strength to survive?

Find out in the final, unforgettable volume of Nobuhiro Watsuki's international manga sensation, Rurouni Kenshin.","2,001 ratings and 85 reviews","['200 pages, Paperback', 'First published November 4, 1999']",https://www.goodreads.com/book/show/294965,,16 people are currently reading,431 people want to read
Cuerpos descosidos,"['Javier Quevedo Puchal', 'Javier Quevedo Puchal']",4.05,"Un viaje al lado más siniestro de la naturaleza humana. Un paseo por la anatomía de aquello que llamamos culpa.

El Cabaret de los Pecados. Una mujer que expía culpas ajenas a través de su cuerpo. Un joven chapero en busca de venganza. Una artista gráfica que sobrevive entregándose a las más terribles rutinas. Un diario secreto. Una familia regida por estrictos códigos de conducta. Un muchacho que posee un don inexplicable y un pasado inconfesable. Ámsterdam, Valencia, West Yorkshire… Tres espacios y tres tiempos que confluyen en una reflexión sobre el horror de lo cotidiano.

Cuerpos descosidos es un cuento oscuro e intrigante que va desnudando las almas y los miedos de sus personajes, hasta lograr que acaben dando nombre a lo innombrable en un desenlace lleno de resonancias, que no dejará indiferente a nadie.",42 ratings and 14 reviews,"['238 pages, Paperback', 'First published January 1, 2011']",https://www.goodreads.com/book/show/10944570,['Drama'],1 person is currently reading,67 people want to read
"Rurouni Kenshin, Volume 19","['Nobuhiro Watsuki', 'Nobuhiro Watsuki']",4.38,"It began with a sin, committed by Kenshin, back during his bloody days as hitokiri or a government-sanctioned slayer of men. Although stopping most of the assassins who still come seeking revenge should be easy enough, what of the innocent--Sanosuke and Yahiko (Kenshin's comrades), everyone at Akabeko Inn (Kenshin's friends), Kaoru (Kenshin's...?). For once there was another love in Kenshin's life, one which--given his nature--must by definition have been tragic. Can Kenshin escape the shades of his past, and find the will to fight for the real world--for the living--for reality?!","2,019 ratings and 47 reviews","['192 pages, Paperback', 'First published February 4, 1998']",https://www.goodreads.com/book/show/294972,"['Manga', 'Historical Fiction', 'Comics', 'Graphic Novels', 'Historical', 'Fiction', 'Shonen', '...more']",13 people are currently reading,354 people want to read
Everlost,"['Neal Shusterman', 'Neal Shusterman']",3.96,"Nick and Allie don't survive the car accident...

...but their souls don't exactly get where they're supposed to get either. Instead, they're caught halfway between life and death, in a sort of limbo known as Everlost: a shadow of the living world, filled with all the things and places that no longer exist. It's a magical, yet dangerous place where bands of lost children run wild and anyone who stands in the same place too long sinks to the center of the Earth.

When they find Mary, the self-proclaimed queen of lost kids, Nick feels like he he's found a home, but Allie isn't satisfied spending eternity between worlds. Against all warnings, Allie begins learning the ""Criminal Art"" of haunting, and ventures into dangerous territory, where a monster called the McGill threatens all the souls of Everlost.

In this imaginative novel, Neal Shusterman explores questions of life, death, and what just might lie in between.","35,795 ratings and 3,312 reviews","['320 pages, Hardcover', 'First published October 1, 2006']",https://www.goodreads.com/book/show/688191,,"1,096 people are currently reading",48.1k people want to read
El verano en que mi madre tuvo los ojos verdes,"['Tatiana Țîbuleac', 'Marian Ochoa de Eribe', 'Tatiana Țîbuleac']",4.35,"Aleksy aún recuerda el último verano que pasó con su madre. Han transcurrido muchos años, pero pronto vuelve a verse sacudido por las mismas emociones que lo asediaron en aquel momento: el rencor, la tristeza, la rabia. ¿Cómo perdonar a la madre que lo rechazó? ¿Cómo enfrentarse a la enfermedad que la está consumiendo? Este es el relato de un verano de reconciliación en el que madre e hijo bajan las armas, espoleados por la llegada de lo inevitable y por la necesidad de hacer las paces entre sí y consigo mismos. Un brutal testimonio que conjuga el resentimiento, la impotencia y la fragilidad de las relaciones maternofiliales. Una poderosa novela que entrelaza la vida y la muerte en una apelación al amor y al perdón. Uno de los grandes descubrimientos de la literatura europea actual.","30,266 ratings and 4,819 reviews","['247 pages, Paperback', 'First published January 1, 2017']",https://www.goodreads.com/book/show/193790015,"['Fiction', 'Contemporary', 'Romanian Literature', 'Drama', 'Novels', 'Audiobook', 'Womens', '...more']","1,020 people are currently reading",28.6k people want to read
