,Book_name,writers,rating,description,url,num_ratings,num_reviews,info_book,publicacion
0,Heartbreak Is the National Anthem: How Taylor Swift Reinvented Pop Music,Rob Sheffield,3.79,"An intimate look at the life and music of modern pop’s most legendary figure, Taylor Swift, from leading music journalist Rob Sheffield.

As Taylor Swift’s preferred and most trusted music journalist, Rob Sheffield has enjoyed closer access to the mega-star than any other writer working today. His unique insight has afforded him a singular perspective of Taylor’s world and her impact on the world. Inspired by his years of this exclusive access, and the Swiftie response his commentary on their beloved Taylor, Sheffield merges reportage and criticism in a way that only he can.

At once one of the most beloved music figures of the past two decades and one of the most criticized, Taylor Swift is known as much for her life beyond her music as she is for her constant stream of hits—and most of all, how she uses the former to not only create the latter, but market and brand herself throughout the many “eras” of her career. At once both approachable and enigmatic, Taylor Swift has become a master of controlling the narrative surrounding her life and career while keeping fans eager to learn of her every next step.

In the tradition of Sheffield’s award-winning Dreaming the Beatles, Heartbreak Is the National Anthem will inform and delight a legion of fans who hang on every word from Taylor and ever word Rob writes on her.",https://www.goodreads.com/book/show/202246100-heartbreak-is-the-national-anthem,963,265,"208 pages, Hardcover"," First published November 12, 2024"
1,The Muse of Maiden Lane,Mimi Matthews,4.21,"A silver-haired equestrienne and a charismatic artist turn a scandalous bargain into a vibrant portrait of love.

Stella Hobhouse is a brilliant rider, stalwart friend, skilled sketch artist—and completely overlooked. Her outmodish gray hair makes her invisible to London society. Combined with her brother’s pious restrictions and her dwindling inheritance, Stella is on the verge of a lifetime marooned in Derbyshire as a spinster. Unless she does something drastic…like posing for a daring new style of portrait by the only man who’s ever really seen her.

Aspiring painter Edward “Teddy” Hayes knows true beauty when he sees it. He would never ask Stella to risk her reputation as an artist’s model but in the five years since a virulent bout of scarlet fever left him partially paralyzed, Teddy has learned to heed good fortune when he finds it. He’ll do anything to persuade his muse to pose for him, even if he must offer her a marriage of convenience.

After all, though Teddy has yearned to trace Stella’s luminous beauty on canvas since their chance meeting, her heart is what he truly aches to capture….",https://www.goodreads.com/book/show/208894878-the-muse-of-maiden-lane,848,276,"384 pages, Paperback"," First published November 19, 2024"
2,"Cher: The Memoir, Part One",Cher,4.45,"THERE IS ONLY ONE CHER …

… and for seven decades she has been showing us why. Cher holds the attention of the world with her voice, her acting, her style, her wit and her unstoppable spirit. Now, for the first time, she tells her story in her own voice – as honest as it is hilarious, as powerful as it is perceptive.

Cher’s childhood was anything but normal. As her mother Georgia – blessed with movie-star looks and a knockout voice – moved them around the country over and again in the hope of finding fame, her school life wasn’t straightforward. But she always knew she was going to be somebody when she grew up.

Cher’s powerful instinct to keep moving eventually landed her in the arms of Sonny Bono. The duo became famous beyond their wildest dreams, from humble beginnings singing backup in Phil Spector’s studio through to pop stardom as Sonny and Cher, and then on to the television show that made them household names. But as time passed, fame changed the dynamic of their relationship and Cher evolved from a wide-eyed teenager into a woman. She started fighting for herself, breaking away from Sonny’s control – and realising that things were not as they seemed.

Taking risks, making headlines, falling in love, Cher struggled and stumbled while trying to become her own woman. brings us to the brink of her next chapter, as she begins to chart her own path, finally claiming her rightful place in the world and becoming CHER.",https://www.goodreads.com/book/show/214363953-cher,"1,420",196,"432 pages, Kindle Edition"," First published November 19, 2024"
3,'Art',"Yasmina Reza, Christopher Hampton",3.78,"The Tony Award-winning play that focuses on the meaning of art (in the form of a solid white painting) as well as the meaning of friendship, to both the man who bought the painting and the two friends who come to see it.""",https://www.goodreads.com/book/show/284022._Art_,"9,030",641,"63 pages, Paperback"," First published October 28, 2024"
4,The Universe in Verse: 15 Portals to Wonder through Science & Poetry,"Maria Popova, Ofra Amit",4.45,"The Universe in Verse is an ode to wonder and an exploration of the human search for truth and meaning.  Poetry and science, as Popova writes in her introduction, ""are instruments for knowing the world more intimately and loving it more deeply."" In 15 short essays on subjects ranging from the mystery of dark matter and the infinity of pi to the resilience of trees and the intelligence of octopuses, Popova tells the stories of scientific searching and discovery. These stories are interwoven with details from the very real and human lives of scientists—many of them women, many underrecognized—and poets inspired by the same questions and the beauty they reveal. Each essay is paired with a poem reflecting its subject by poets ranging from Emily Dickinson, W. H. Auden, and Edna St. Vincent Millay to Maya Angelou, Diane Ackerman, and Tracy K. Smith, and is stunningly illustrated by celebrated artist Ofra Amit. Together, they wake us to a ""reality aglow with wonder.""",https://www.goodreads.com/book/show/207568356-the-universe-in-verse,255,75,"112 pages, Hardcover"," First published October 1, 2024"
5,Subpar Planet: The World's Most Celebrated Landmarks and Their Most Disappointed Visitors,Amber Share,3.8,"New York Times bestselling author and illustrator of Subpar Parks Amber Share takes us around the globe to celebrate the world’s greatest wonders alongside hysterical reviews from their harshest critics. In this follow-up to Subpar Parks, which featured one-star reviews of US National Parks, Subpar Planet takes us from continent to continent with spectacular illustrations and detailed, entertaining descriptions of some of the world's most amazing places, though some have enjoyed these natural and manmade wonders more than others. . . . The Dead Sea? “Who needs burning eyes?” Who indeed? Big Ben? “Just a really big clock.” Go figure.   With Share's classic spin on visitors’ candidly cranky reviews of each location, Subpar Planet fills skeptical travelers with a wanderlust for the world's most spectacular features, including the Eiffel Tower, the Taj Mahal, the Great Barrier Reef, Chichen Itza, the Sahara, and many more! Equal parts hilarious and informative, Subpar Planet is perfect for seasoned globetrotters, those interested in broadening their worldly horizons, and anyone who simply wants to see the unique ways their fellow human beings interact with the world around them.",https://www.goodreads.com/book/show/205483590-subpar-planet,112,20,"256 pages, Hardcover"," First published October 1, 2024"
6,The Art Thieves,Andrea L. Rogers,3.99,"Angel Wilson (LawAngel@IBLO.gov)
Stevie Henry (shenry@gmail.com)
Thanks for coming to see me; but by the time you read this, it will be too late. No one will have started to panic, yet; but in less than two months nothing will be the same. What came first, The Chicken or the Egg Flu? I wish it mattered. But let’s just say, maybe go back to wearing a mask, bathing in sanitizer, and avoid birds and eggs for a bit…

I did not kill my brother. I did quite the opposite, really.

It’s the year 2052. Stevie Henry is a Cherokee girl working at a museum in Texas, trying to save up enough money to go to college. The world around her is in a cycle of drought and superstorms, ice and fire … but people get by. But it’s about to get a whole lot worse.

When a mysterious boy shows up at Stevie’s museum saying that he’s from the future -- and telling her what is to come -- she refuses to believe him. But soon she will have no choice.

From the author of the Walter Award-winning Man Made Monsters comes a YA novel that conjures our futures in startling life – the ones that we are headed towards, and the ones we can still work towards.",https://www.goodreads.com/book/show/198498419-the-art-thieves,94,37,"400 pages, Hardcover"," First published October 8, 2024"
7,Lesser Ruins,Mark Haber,4.31,"From the author of Reinhardt's Garden and Saint Sebastian's Abyss comes a breathless new novel of delirious obsession.

Bereft after the death of his ailing wife, a retired professor has resumed his life's work—a book that will stand as a towering cathedral to Michel de Montaigne, reframing the inventor of the essay for the modern age. The challenge is the litany of intrusions that bar his way—from memories of his past to the nattering of smartphones to his son's relentless desire to make an electronic dance album.

As he sifts through the contents of his desk, his thoughts pulsing and receding in a haze of caffeine, ghosts and grievances spill out across the page. From the community college where he toiled in vain to an artists' colony in the Berkshires, from the endless pleasures of coffee to the finer points of Holocaust art, the professor's memories churn with sculptors, poets, painters, and inventors, all obsessed with escaping both mediocrity and themselves.

Laced with humor as acrid as it is absurd, Lesser Ruins is a spiraling meditation on ambition, grief, and humanity's ecstatic, agonizing search for meaning through art.",https://www.goodreads.com/book/show/204270371-lesser-ruins,81,21,"296 pages, Paperback"," First published October 8, 2024"
8,Didion and Babitz,Lili Anolik,3.36,"Joan Didion is revealed at last in this outrageously provocative and profoundly moving new work on the mutual attractions—and mutual antipathies—of Didion and Didion’s fellow literary titan, Eve Babitz. “Could you write what you write if you weren’t so tiny, Joan?” —Eve Babitz, in a letter to Joan Didion, 1972 Eve Babitz died on December 17, 2021. Found in a closet in the back of an apartment full of wrack, ruin, and filth was a stack of boxes packed by her mother decades before. These boxes were pristine, the seals of duct tape unbroken. journals, photos, scrapbooks, manuscripts, letters. inside a lost world. This world turned for a certain number of years in the late sixties and early seventies, and was centered on a two-story house rented by Joan Didion and her husband, writer John Gregory Dunne, in a down-at-heel section of Hollywood. 7406 Franklin Avenue, a combination salon-hotbed-living end where writers and artists mixed with movie stars, rock n’ rollers, drug trash. 7406 Franklin Avenue was the making of one great American Joan Didion, cool and reserved behind her oversized sunglasses and storied marriage, a union as tortured as it was enduring. 7406 Franklin Avenue was the breaking and then the remaking—and thus the true making—of another great American Eve Babitz, goddaughter of Igor Stravinsky, nude of Marcel Duchamp, consort of Jim Morrison (among many, many others), who burned so hot she finally almost burned herself alive. The two formed a complicated a friendship that went bad, amity turning to enmity; a friendship that was as rare as true love, as rare as true hate. Didion, in spite of her confessional style, her widespread fame, is so little known or understood. She’s remained opaque, elusive. Until now. With deftness and skill, journalist Lili Anolik uses Babitz—Babitz’s brilliance of observation, Babitz’s incisive intelligence, and, most of all, Babitz’s diary-like letters—as the key to unlocking the mighty and mysterious Didion.",https://www.goodreads.com/book/show/207293782-didion-and-babitz,394,147,"352 pages, Hardcover"," First published November 12, 2024"
9,I'm Laughing Because I'm Crying: A Memoir,Youngmi Mayer,4.49,"“Do you know what happens if you laugh while crying? Hair grows out of your butthole.” It was a constant truism Youngmi Mayer’s mother would say threateningly after she would make her daughter laugh while crying. Her mother used it to cheer her up in moments when she could tell Youngmi was overtaken with grief. The humorous saying would never fail to lighten the mood, causing both daughter and mother to laugh and cry at the same time. Her mother had learned this trick from her mother, and her mother had learned this from her mother before it had also helped an endless string of her family laugh through suffering.

In I’m Laughing Because I’m Crying, Youngmi jokes through the retelling of her childhood as an offbeat biracial kid in Saipan, a place next to a place that Americans might know. She jokes through her difficult adolescence where she must parent her own a mother who married her husband because he looked like white Jesus (and the singer of The Bee Gees). And with humor and irreverence and full-throated openness, she jokes even while sharing the story of what her family went through during the last century of colonialism and war in Korea, while reflecting how years later, their wounds affect her in New York City as a single mom, all the while interrogating whiteness, gender, and sexuality.

Youngmi jokes through these stories in hopes of passing onto the reader what her family passed down to The gift of laughing while crying. The gift of a hairy butthole. Because throughout it all, the one thing she learned was one cannot exist without the other. And like a yin and yang, this duality is reflected in this whip-smart, heart-wrenching, and disarmingly funny memoir told by a bright new voice with so much heart and wisdom.",https://www.goodreads.com/book/show/207567772-i-m-laughing-because-i-m-crying,256,65,"256 pages, Hardcover"," First published November 12, 2024"
